lam,doc_idx,layer,entropy_norm,retention,q_len_orig
0.0,0,15,0.8933614492416382,0.4,128
0.0,0,16,0.9975975751876831,0.4,128
0.0,0,17,0.9227066040039062,0.4,128
0.0,0,18,0.9704955220222473,0.4,128
0.0,0,19,0.945223331451416,0.4,128
0.0,0,20,0.19488058984279633,0.4,128
0.0,0,21,0.9137852787971497,0.4,128
0.0,0,22,0.9651449918746948,0.4,128
0.0,0,23,0.9969385862350464,0.4,128
0.0,0,24,0.9645317792892456,0.4,128
0.0,0,25,0.9296554327011108,0.4,128
0.0,0,26,0.9827139973640442,0.4,128
0.0,0,27,0.0693146288394928,0.4,128
0.0,0,28,0.9888045191764832,0.4,128
0.0,0,29,0.22373253107070923,0.4,128
0.0,0,30,0.9785873889923096,0.4,128
0.0,1,15,0.7070489525794983,0.4,128
0.0,1,16,0.9975847005844116,0.4,128
0.0,1,17,0.8910084962844849,0.4,128
0.0,1,18,0.9709293246269226,0.4,128
0.0,1,19,0.8869471549987793,0.4,128
0.0,1,20,0.4316325783729553,0.4,128
0.0,1,21,0.8821357488632202,0.4,128
0.0,1,22,0.9675806760787964,0.4,128
0.0,1,23,0.9948357939720154,0.4,128
0.0,1,24,0.9012959003448486,0.4,128
0.0,1,25,0.8898431658744812,0.4,128
0.0,1,26,0.9824254512786865,0.4,128
0.0,1,27,0.13718192279338837,0.4,128
0.0,1,28,0.9842044115066528,0.4,128
0.0,1,29,0.0159037783741951,0.4,128
0.0,1,30,0.9815640449523926,0.4,128
0.0,2,15,0.7836387157440186,0.4,128
0.0,2,16,0.9978128671646118,0.4,128
0.0,2,17,0.9158669710159302,0.4,128
0.0,2,18,0.9743402004241943,0.4,128
0.0,2,19,0.9364502429962158,0.4,128
0.0,2,20,0.24583421647548676,0.4,128
0.0,2,21,0.9048750400543213,0.4,128
0.0,2,22,0.9639185070991516,0.4,128
0.0,2,23,0.9970260858535767,0.4,128
0.0,2,24,0.9708406925201416,0.4,128
0.0,2,25,0.9555670619010925,0.4,128
0.0,2,26,0.9851423501968384,0.4,128
0.0,2,27,0.13887333869934082,0.4,128
0.0,2,28,0.9926999807357788,0.4,128
0.0,2,29,0.039733704179525375,0.4,128
0.0,2,30,0.9816849231719971,0.4,128
0.0,3,15,0.8501011729240417,0.4,128
0.0,3,16,0.9980682134628296,0.4,128
0.0,3,17,0.9056608080863953,0.4,128
0.0,3,18,0.9666042327880859,0.4,128
0.0,3,19,0.9424644112586975,0.4,128
0.0,3,20,0.17716750502586365,0.4,128
0.0,3,21,0.8660523295402527,0.4,128
0.0,3,22,0.9614834785461426,0.4,128
0.0,3,23,0.9964332580566406,0.4,128
0.0,3,24,0.9428390860557556,0.4,128
0.0,3,25,0.950434684753418,0.4,128
0.0,3,26,0.9709373116493225,0.4,128
0.0,3,27,0.12893101572990417,0.4,128
0.0,3,28,0.9790347218513489,0.4,128
0.0,3,29,0.025190627202391624,0.4,128
0.0,3,30,0.9848797917366028,0.4,128
0.05,0,15,0.8933614492416382,0.40533192753791814,128
0.05,0,16,0.9975975751876831,0.40012012124061586,128
0.05,0,17,0.9227066040039062,0.40386466979980473,128
0.05,0,18,0.9704955220222473,0.4014752238988877,128
0.05,0,19,0.945223331451416,0.4027388334274292,128
0.05,0,20,0.19488058984279633,0.4402559705078602,128
0.05,0,21,0.9153004884719849,0.40423497557640076,128
0.05,0,22,0.9657167792320251,0.40171416103839874,128
0.05,0,23,0.9969245791435242,0.4001537710428238,128
0.05,0,24,0.9654070138931274,0.40172964930534366,128
0.05,0,25,0.9333193898200989,0.4033340305089951,128
0.05,0,26,0.9827122092247009,0.40086438953876496,128
0.05,0,27,0.07536856830120087,0.44623157158494,128
0.05,0,28,0.988873302936554,0.4005563348531723,128
0.05,0,29,0.23539721965789795,0.4382301390171051,128
0.05,0,30,0.9798780083656311,0.40100609958171846,128
0.05,1,15,0.7070489525794983,0.41464755237102513,128
0.05,1,16,0.9976909160614014,0.40011545419692995,128
0.05,1,17,0.8921728730201721,0.4053913563489914,128
0.05,1,18,0.9697184562683105,0.4015140771865845,128
0.05,1,19,0.9120078086853027,0.4043996095657349,128
0.05,1,20,0.41912269592285156,0.42904386520385746,128
0.05,1,21,0.8798559904098511,0.40600720047950745,128
0.05,1,22,0.9684062004089355,0.40157968997955323,128
0.05,1,23,0.9947264194488525,0.4002636790275574,128
0.05,1,24,0.9059346318244934,0.40470326840877535,128
0.05,1,25,0.8910208940505981,0.4054489552974701,128
0.05,1,26,0.981764018535614,0.40091179907321933,128
0.05,1,27,0.0072972746565938,0.44963513626717033,128
0.05,1,28,0.984954297542572,0.4007522851228714,128
0.05,1,29,0.0213333573192358,0.44893333213403824,128
0.05,1,30,0.9819748401641846,0.40090125799179077,128
0.05,2,15,0.7836387157440186,0.4108180642127991,128
0.05,2,16,0.997814416885376,0.40010927915573125,128
0.05,2,17,0.9147942662239075,0.40426028668880465,128
0.05,2,18,0.9739912152290344,0.4013004392385483,128
0.05,2,19,0.9365910887718201,0.403170445561409,128
0.05,2,20,0.24372924864292145,0.43781353756785396,128
0.05,2,21,0.9054110050201416,0.40472944974899294,128
0.05,2,22,0.9632510542869568,0.4018374472856522,128
0.05,2,23,0.997063934803009,0.4001468032598496,128
0.05,2,24,0.9711484909057617,0.40144257545471196,128
0.05,2,25,0.9557958245277405,0.402210208773613,128
0.05,2,26,0.9854159951210022,0.4007292002439499,128
0.05,2,27,0.11453844606876373,0.4442730776965618,128
0.05,2,28,0.9915310740470886,0.4004234462976456,128
0.05,2,29,0.014872079715132713,0.4492563960142434,128
0.05,2,30,0.9806379675865173,0.40096810162067414,128
0.05,3,15,0.8501011729240417,0.40749494135379793,128
0.05,3,16,0.9980640411376953,0.40009679794311526,128
0.05,3,17,0.9068531394004822,0.4046573430299759,128
0.05,3,18,0.9669776558876038,0.40165111720561986,128
0.05,3,19,0.9420929551124573,0.40289535224437717,128
0.05,3,20,0.34172293543815613,0.4329138532280922,128
0.05,3,21,0.8672084808349609,0.40663957595825195,128
0.05,3,22,0.9611288905143738,0.40194355547428134,128
0.05,3,23,0.9962114691734314,0.40018942654132844,128
0.05,3,24,0.9404569268226624,0.4029771536588669,128
0.05,3,25,0.9494001269340515,0.40252999365329745,128
0.05,3,26,0.9710677266120911,0.4014466136693955,128
0.05,3,27,0.26518332958221436,0.4367408335208893,128
0.05,3,28,0.9794567227363586,0.4010271638631821,128
0.05,3,29,0.027874590829014778,0.4486062704585493,128
0.05,3,30,0.9858443737030029,0.40070778131484985,128
0.1,0,15,0.8933614492416382,0.4106638550758362,128
0.1,0,16,0.9975913763046265,0.4002408623695374,128
0.1,0,17,0.9232826828956604,0.40767173171043397,128
0.1,0,18,0.9707152843475342,0.4029284715652466,128
0.1,0,19,0.9440320134162903,0.405596798658371,128
0.1,0,20,0.205555722117424,0.47944442778825763,128
0.1,0,21,0.9108760356903076,0.40891239643096927,128
0.1,0,22,0.9657163619995117,0.4034283638000489,128
0.1,0,23,0.9967827200889587,0.40032172799110416,128
0.1,0,24,0.9638440608978271,0.4036155939102173,128
0.1,0,25,0.9292147755622864,0.4070785224437714,128
0.1,0,26,0.9824347496032715,0.40175652503967285,128
0.1,0,27,0.12065697461366653,0.48793430253863335,128
0.1,0,28,0.9889943599700928,0.40110056400299077,128
0.1,0,29,0.27067068219184875,0.47293293178081514,128
0.1,0,30,0.9799363017082214,0.40200636982917787,128
0.1,1,15,0.7070489525794983,0.4292951047420502,128
0.1,1,16,0.9976900219917297,0.40023099780082705,128
0.1,1,17,0.891802191734314,0.4108197808265686,128
0.1,1,18,0.9696299433708191,0.4030370056629181,128
0.1,1,19,0.9128246307373047,0.40871753692626955,128
0.1,1,20,0.4181418716907501,0.458185812830925,128
0.1,1,21,0.8830574154853821,0.4116942584514618,128
0.1,1,22,0.9694119691848755,0.4030588030815125,128
0.1,1,23,0.9949144124984741,0.4005085587501526,128
0.1,1,24,0.9051557779312134,0.4094844222068787,128
0.1,1,25,0.885215163230896,0.4114784836769104,128
0.1,1,26,0.9842012524604797,0.40157987475395207,128
0.1,1,27,0.021066714078187943,0.4978933285921812,128
0.1,1,28,0.9844468832015991,0.4015553116798401,128
0.1,1,29,0.25430381298065186,0.4745696187019348,128
0.1,1,30,0.9807844161987305,0.401921558380127,128
0.1,2,15,0.7836387157440186,0.42163612842559817,128
0.1,2,16,0.9978358745574951,0.4002164125442505,128
0.1,2,17,0.9149304032325745,0.40850695967674255,128
0.1,2,18,0.9738788604736328,0.40261211395263674,128
0.1,2,19,0.9363702535629272,0.4063629746437073,128
0.1,2,20,0.2495768964290619,0.4750423103570938,128
0.1,2,21,0.9043726325035095,0.40956273674964905,128
0.1,2,22,0.9635076522827148,0.40364923477172854,128
0.1,2,23,0.996971845626831,0.40030281543731694,128
0.1,2,24,0.971543550491333,0.4028456449508667,128
0.1,2,25,0.9567465782165527,0.40432534217834476,128
0.1,2,26,0.9846155047416687,0.4015384495258332,128
0.1,2,27,0.25014305114746094,0.47498569488525394,128
0.1,2,28,0.9909899830818176,0.40090100169181825,128
0.1,2,29,0.005282178521156311,0.4994717821478844,128
0.1,2,30,0.9827892780303955,0.40172107219696046,128
0.1,3,15,0.8501011729240417,0.41498988270759585,128
0.1,3,16,0.9980378150939941,0.4001962184906006,128
0.1,3,17,0.9055724740028381,0.4094427525997162,128
0.1,3,18,0.9663193821907043,0.4033680617809296,128
